Date;Open;High;Low;Close;Price;Volume;Dividends;Stock Splits;;
02/11/2019;9.259.783.203.125,00;9.377.486.328.125,00;9.249.587.890.625,00;93.247.177.734.375,00;83987394531250,00;21242676385;0.0;0.0;;
03/11/2019;9.324.787.109.375,00;9.379.806.640.625,00;9.141.251.953.125,00;92.353.544.921.875,00;83028757812500,00;21132220847;0.0;0.0;;
04/11/2019;9.235.607.421.875,00;95.050.517.578.125,00;91.914.853.515.625,00;94.126.123.046.875,00;84890515625000,00;26170255634;0.0;0.0;;
05/11/2019;94.130.048.828.125,00;945.741.796.875,00;9.256.931.640.625,00;934.252.734.375,00;-93195796093750,00;26198609048;0.0;0.0;;
06/11/2019;93.408.642.578.125,00;94.232.373.046.875,00;93.059.091.796.875,00;93.608.798.828.125,00;200156250000,00;23133895765;0.0;0.0;;
07/11/2019;93.523.935.546.875,00;93.684.765.625,00;9.202.353.515.625,00;92.675.615.234.375,00;-848320312500,00;22700383839;0.0;0.0;;
08/11/2019;92.653.681.640.625,00;9.272.759.765.625,00;87.755.341.796.875,00;8.804.880.859.375,00;-83848800781250,00;24333037836;0.0;0.0;;
09/11/2019;880.946.875,00;8.891.818.359.375,00;87.931.630.859.375,00;881.358.203.125,00;880477256250,00;17578630606;0.0;0.0;;
10/11/2019;88.124.892.578.125,00;9.103.826.171.875,00;8.806.162.109.375,00;90.555.263.671.875,00;2430371093750,00;20587919881;0.0;0.0;;
11/11/2019;905.691.796.875,00;9.081.279.296.875,00;87.006.083.984.375,00;87.577.880.859.375,00;86672189062500,00;20265510765;0.0;0.0;;
12/11/2019;8.759.751.953.125,00;88.537.685.546.875,00;8.685.427.734.375,00;8.815.662.109.375,00;55910156250,00;20309769107;0.0;0.0;;
13/11/2019;8.812.033.203.125,00;8.836.841.796.875,00;87.616.513.671.875,00;88.082.626.953.125,00;79270593750000,00;17545755405;0.0;0.0;;
